LIB	FY	ORD_ID	XINFO_FIELD	ENTRY	DATA
SUL	2022	222222F22	NOTE	ENTRY>	aFS<ENTRY
SUL	2022	333333F22	NOTE	ENTRY>	avs<ENTRY
SUL	2022	333333F22	COMMENT	ENTRY>	"aSales agreement, payment to be split over 2 years. vs 3/23/2022<ENTRY"
SUL	2022	333333F22	COMMENT	ENTRY>	"aReceived remotely items (16 boxes) for accession record.<ENTRY"
SUL	2022	333333F22	MULTIYEAR	ENTRY>	aPhased payment FY2022-FY2023<ENTRY
SUL	2022	1ABC0000	NOTE	ENTRY>	aFS<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	aGLFIX  94454<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aVR: the ""Jahresgabe"" for 2002/2003 has been added to your collection in connection with the blanket order arrangement.  20060208 zp<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aSkulptur in Deutschland : zwischen Franzosischer Revolution und Erstem Weltkrieg (Bd. 1-2), sb=ser; DUP2GIFTS. (md 01/04/2011)<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aPeter Candid (um 1548-1628) : Gemalde - Zeichnungen - Druckgraphik, sb=ser; DUP2GIFTS.  (md 02/24/2011)<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	aCurrent price (subscription year 2017): Next year's price (subscription year 2018): Increase: 17.84%   /fs/3/20/2018<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	aDUP2GIFTS = Christian Daniel Rauch und Ernst Rietschel (bd.1-2). jks 8/10/21<ENTRY
SUL	2022	1ABC0000	NOTE	ENTRY>	aFS<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	aGLFIX  94454<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aVR: the ""Jahresgabe"" for 2002/2003 has been added to your collection in connection with the blanket order arrangement.  20060208 zp<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aSkulptur in Deutschland : zwischen Franzosischer Revolution und Erstem Weltkrieg (Bd. 1-2), sb=ser; DUP2GIFTS. (md 01/04/2011)<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	"aPeter Candid (um 1548-1628) : Gemalde - Zeichnungen - Druckgraphik, sb=ser; DUP2GIFTS.  (md 02/24/2011)<ENTRY"
SUL	2022	1ABC0000	COMMENT	ENTRY>	aCurrent price (subscription year 2017): Next year's price (subscription year 2018): Increase: 17.84%   /fs/3/20/2018<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	aDUP2GIFTS = Christian Daniel Rauch und Ernst Rietschel (bd.1-2). jks 8/10/21<ENTRY
SUL	2022	1ABC0000	NOTE	ENTRY>	aFS<ENTRY
SUL	2022	1ABC0000	COMMENT	ENTRY>	aGLFIX  94454<ENTRY
