LIB	FY	ORD_ID	ORDLINE_KEY	ORDLINE_NUM	XINFO_FIELD	ENTRY	DATA
SUL	2022	222222F22	5733749	1	SELECTOR	ENTRY>	aBLS<ENTRY
SUL	2022	222222F22	5733749	1	CONTACT	ENTRY>	aName; Ordering Specialist; name@example.com; Tel: 555-555-5555 Fax: 555-555-5555<ENTRY
SUL	2022	333333F22	5729755	1	SELECTOR	ENTRY>	aRHW<ENTRY
SUL	2022	333333F22	5729755	1	CONTACT	ENTRY>	aName <name@example.com><ENTRY
SUL	2022	1ABC0000	5623693	1	SELECTOR	ENTRY>	aDVK<ENTRY
SUL	2022	1ABC0000	5623693	1	CONTACT	ENTRY>	aName<ENTRY
SUL	2022	1ABC0000	5675888	2	SELECTOR	ENTRY>	aDVK<ENTRY
SUL	2022	1ABC0000	5675888	2	CONTACT	ENTRY>	aName<ENTRY
SUL	2022	1ABC0000	5676990	3	SELECTOR	ENTRY>	aDVK<ENTRY
SUL	2022	1ABC0000	5676990	3	CONTACT	ENTRY>	aName<ENTRY
SUL	2022	4444444F21	5613373	1	SELECTOR	ENTRY>	ahel<ENTRY
SUL	2022	4444444F21	5613373	1	CONTACT	ENTRY>	"aName, name@example.com, 555-555-5555 / fax 1 555-555-5555<ENTRY"
SUL	2022	4444444F21	5613373	1	ACCOUNT	ENTRY>	a400958<ENTRY
SUL	2022	555555F12	5635368	1	SELECTOR	ENTRY>	ajmc<ENTRY
SUL	2022	555555F12	5635368	1	CONTACT	ENTRY>	aName <name@example.com><ENTRY
SUL	2022	555555F12	5738377	3	SELECTOR	ENTRY>	ajmc<ENTRY
SUL	2022	555555F12	5738377	3	CONTACT	ENTRY>	aName <name@example.com><ENTRY
SUL	2022	666666F07	5628423	1	SELECTOR	ENTRY>	agb<ENTRY
SUL	2022	666666F07	5628423	1	CONTACT	ENTRY>	aname@example.com<ENTRY
